filename,module,acc,accm,amloc,an,anpm,asom,auv,bd,bf,cbo,da,dbz,df,dit,dnp,dupv,fgbo,lcom4,loc,mlk,mmloc,noa,noc,nom,npa,npm,obaa,osf,pitfc,rfc,rogu,rsva,saigv,sc,ua,uaf,uav
br/gov/caixa/siget/converter/AmbienteConverter.java,br::gov::caixa::siget::converter::AmbienteConverter,0,2.5,10,0,3,0,0,0,0,1,0,0,0,1,0,0,0,2,20,0,13,1,0,2,0,2,0,0,0,4,0,0,0,2,0,0,0
br/gov/caixa/siget/converter/BemConverter.java,br::gov::caixa::siget::converter::BemConverter,0,2.5,13,0,3,0,0,0,0,1,0,0,0,1,0,0,0,1,26,0,17,1,0,2,0,2,0,0,0,4,0,0,0,1,0,0,0
br/gov/caixa/siget/converter/CanalConverter.java,br::gov::caixa::siget::converter::CanalConverter,0,2.5,10,0,3,0,0,0,0,2,0,0,0,1,0,0,0,2,20,0,13,1,0,2,0,2,0,0,0,4,0,0,0,4,0,0,0
br/gov/caixa/siget/converter/FornecedorConverter.java,br::gov::caixa::siget::converter::FornecedorConverter,0,2.5,10,0,3,0,0,0,0,3,0,0,0,1,0,0,0,2,20,0,13,1,0,2,0,2,0,0,0,4,0,0,0,6,0,0,0
br/gov/caixa/siget/converter/GrupoFornecedorConverter.java,br::gov::caixa::siget::converter::GrupoFornecedorConverter,0,2.5,11.5,0,3,0,0,0,0,4,0,0,0,1,0,0,0,2,23,0,15,1,0,2,0,2,0,0,0,4,0,0,0,8,0,0,0
br/gov/caixa/siget/converter/ItemOrcamentarioConverter.java,br::gov::caixa::siget::converter::ItemOrcamentarioConverter,0,2,13,0,3,0,0,0,0,4,0,0,0,1,0,0,0,1,26,0,14,1,0,2,0,2,0,0,0,4,0,0,0,4,0,0,0
br/gov/caixa/siget/converter/ItemOrcamentarioNumeroConverter.java,br::gov::caixa::siget::converter::ItemOrcamentarioNumeroConverter,0,2.5,12.5,0,3,0,0,0,0,5,0,0,0,1,0,0,0,2,25,0,15,1,0,2,0,2,0,0,0,4,0,0,0,10,0,0,0
br/gov/caixa/siget/converter/ObjetivoEstrategicoConverter.java,br::gov::caixa::siget::converter::ObjetivoEstrategicoConverter,0,2.5,10,0,3,0,0,0,0,6,0,0,0,1,0,0,0,2,20,0,13,1,0,2,0,2,0,0,0,4,0,0,0,12,0,0,0
br/gov/caixa/siget/converter/PadestConverter.java,br::gov::caixa::siget::converter::PadestConverter,0,2,11.5,0,3,0,0,0,0,6,0,0,0,1,0,0,0,1,23,0,12,1,0,2,0,2,0,0,0,4,0,0,0,6,0,0,0
br/gov/caixa/siget/converter/PlataformaConverter.java,br::gov::caixa::siget::converter::PlataformaConverter,0,2.5,10,0,3,0,0,0,0,7,0,0,0,1,0,0,0,2,20,0,13,1,0,2,0,2,0,0,0,4,0,0,0,14,0,0,0
br/gov/caixa/siget/converter/ProjetoConverter.java,br::gov::caixa::siget::converter::ProjetoConverter,0,2.5,10,0,3,0,0,0,0,8,0,0,0,1,0,0,0,2,20,0,13,1,0,2,0,2,0,0,0,4,0,0,0,16,0,0,0
br/gov/caixa/siget/converter/ServicoConverter.java,br::gov::caixa::siget::converter::ServicoConverter,0,2.5,13.5,0,3,0,0,0,0,8,0,0,0,1,0,0,0,1,27,0,17,1,0,2,0,2,0,0,0,4,0,0,0,8,0,0,0
br/gov/caixa/siget/converter/TipoDemandaConverter.java,br::gov::caixa::siget::converter::TipoDemandaConverter,0,2.5,10,0,3,0,0,0,0,10,0,0,0,1,0,0,0,2,20,0,13,1,0,2,0,2,0,0,0,6,0,0,0,20,0,0,0
br/gov/caixa/siget/converter/TipoEmpregadoConverter.java,br::gov::caixa::siget::converter::TipoEmpregadoConverter,0,2.5,9.5,0,3,0,0,0,0,10,0,0,0,1,0,0,0,2,19,0,12,0,0,2,0,2,0,0,0,2,0,0,0,20,0,0,0
br/gov/caixa/siget/converter/UnidadeMedidaConverter.java,br::gov::caixa::siget::converter::UnidadeMedidaConverter,0,2,11,0,3,0,0,0,0,10,0,0,0,1,0,0,0,1,22,0,12,1,0,2,0,2,0,0,0,4,0,0,0,10,0,0,0
br/gov/caixa/siget/converter/ViewUnidadeConverter.java,br::gov::caixa::siget::converter::ViewUnidadeConverter,0,2.5,11,0,3,0,0,0,0,13,0,0,0,1,0,0,0,2,22,0,15,1,0,2,1,2,0,0,0,11,0,0,0,26,0,0,0
br/gov/caixa/siget/dominio/CategoriaENUM.java,CategoriaENUM,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
br/gov/caixa/siget/dominio/FaseENUM.java,FaseENUM,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
br/gov/caixa/siget/dominio/NivelAcessoENUM.java,NivelAcessoENUM,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
br/gov/caixa/siget/dominio/SituacaoENUM.java,SituacaoENUM,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
br/gov/caixa/siget/dominio/SituacaoOrcamentoENUM.java,SituacaoOrcamentoENUM,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
br/gov/caixa/siget/dominio/TipoContratacaoENUM.java,TipoContratacaoENUM,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
